,station_id,station_name,geometry,tract_name,rides,monthly_housing_cost
0,40830,18th (Pink Line),POINT (-87.669147 41.857908),3108,588264,851
1,40120,35th/Archer (Orange Line),POINT (-87.680622 41.829353),5905,956194,1006
2,41120,35th-Bronzeville-IIT (Green Line),POINT (-87.625826 41.831677),8420,542408,1829
3,41270,43rd (Green Line),POINT (-87.619021 41.816462),8358,318230,1323
4,40130,51st (Green Line),POINT (-87.618487 41.80209),3818,304359,1054
5,40580,54th/Cermak (Pink Line),POINT (-87.75669200999999 41.85177331),8137.01,677264,956
6,40990,69th (Red Line),POINT (-87.62572400000001 41.768367),6903,1665318,716
7,40240,79th (Red Line),POINT (-87.625112 41.750419),8424,2213115,808
8,40450,95th/Dan Ryan (Red Line),POINT (-87.624342 41.722377),8340,3261146,1072
9,40680,"Adams/Wabash (Brown, Green, Orange, Pink & Purple Lines)",POINT (-87.626037 41.879507),3204,2573279,2689
10,41440,Addison (Brown Line),POINT (-87.67464200000001 41.947028),506,743328,1862
11,41420,Addison (Red Line),POINT (-87.653626 41.947428),610,2971892,2025
12,41200,Argyle (Red Line),POINT (-87.65853 41.973453),312,1011067,786
13,41430,87th (Red Line),POINT (-87.624717 41.735372),8424,1320551,808
14,40660,Armitage (Brown & Purple Lines),POINT (-87.652644 41.918217),711,1313169,2270
15,41060,Ashland (Orange Line),POINT (-87.665317 41.839234),8432,501966,885
16,40290,Ashland/63rd (Green Line),POINT (-87.663766 41.77886),6711,366831,828
17,40010,Austin (Blue Line),POINT (-87.77681200000001 41.870851),8131,599330,1617
18,41260,Austin (Green Line),POINT (-87.774135 41.887293),2514,593018,886
19,40060,Belmont (Blue Line),POINT (-87.71235900000001 41.938132),2106.01,1729843,1177
20,41320,"Belmont (Red, Brown & Purple Lines)",POINT (-87.65338 41.939751),630,4010387,1559
21,40340,Berwyn (Red Line),POINT (-87.65866800000001 41.977984),307.03,1094141,943
22,41380,Bryn Mawr (Red Line),POINT (-87.65884 41.983504),307.01,1509613,889
23,40440,California (Pink Line),POINT (-87.694774 41.854109),8407,444497,845
24,41360,California (Green Line),POINT (-87.696234 41.88422),8371,311129,940
25,40280,Central (Green Line),POINT (-87.76564999999999 41.887389),2514,622246,886
